Record ID,Description,Text2
1,Impact,To meet someone with the knowledge and passion for Hawaii is inspirational and gave me a deeper love for our culture and islands. The reminder about the history of literacy in Hawaii and the sizable kuleana we have to get us back there. 
2,Impact,To meet someone with the knowledge and passion for Hawaii is inspirational and gave me a deeper love for our culture and islands. The reminder about the history of literacy in Hawaii and the sizable kuleana we have to get us back there. 
3,Impact,"Anake Kū is my Kumu. I have looked up to her and have followed along in her mission and in her vision over the years. She had a dream, that came true. I was a part of that dream, and it is now my kuleana to keep that ream thriving. As always, I am memorized by her words, and am honored and privileged to know her. She is and will always be a big part of my drive in education. Mahalo piha e 'anake Kū, nui me ke aloha iā 'oe "
4,Impact,  I enjoyed the keynote because it was informational and felt really welcoming. 
5,Impact, That Ku is a force in and of herself and changes and adapts with the times and circumstances. I know she has a strong support system. I have great aloha for them all. 
6,Impact,Kū Kahakalau shared her manaʻo of where she was born and raised and her ability to speak several languages and about learning the Hawaiian Language and culture of Hawaiʻi. Hearing her speak of her life in Waipiʻo and raising her family there was very interesting. She is very intelligent and very educated in so many fields and have a lot of manaʻo to share with our Hawaiian community. 
7,Impact, I loved her energy. Good start to the day! 
8,Impact,The ongoing dedication to revive ʻōlelo Hawaii and Hawaiian culture based learning. The love she demonstrates for her people and future generations. 
9,Impact,"The mana, energy, love, excitement, care, emanating from this presenter. "
10,Impact,"Kū Kahakalau is an inspiring speaker, she set a wonderful tone for the conference. Very interesting concept, ""institutionalized racism"" she brought up. "
11,Impact,"Reinforcment that as a community, we have the resources and do not need ""outside"" influences to show our community how to interact with our community "
12,Impact,How passionate we are is reflected in what we convey. 
13,Impact,Some new historical facts that I learned. 
14,Impact,I loved how she helped support 'olelo Hawai'i in the school systems and I felt a sense of pride as she spoke about our Hawaiian Kupuna/ancestors. 
15,Impact," What impacted me the most from this presentation was learning that our ancestors learned, taught, practiced, and handed down what people now and within the last few decades are realizing are the best way to teach and educate native Hawaiians. "
16,Impact,She is so knowledgeable. 
17,Impact,"I enjoy learning from Dr. Kahakalau. In addition to her wealth of knowledge on indigenous education and language, I really appreciate how she consistently incorporated ʻohana images and examples throughout her presentation. What impacted me the most was her delivery and how she demonstrated her love for education and foundation of aloha as a lifestyle and not a career or chore for that matter."
18,Impact,Teach Hawaii-centric! Rigor! Connection to aina and kupuna! 
19,Impact,Great presenter. 
20,Impact,Joining together on both sides of the fence. The systematic racism that has happened and continues to happen in Hawaii to its people. 
